match_id,innings,batting_team,batsman,runs,balls,fours,sixes,strikeRate,isOut,wicketType,fielders,bowler
1450690,2,United States of America,SK Patel,9,25,0,0,36.00,Yes,caught,,JI de Villiers
1450690,2,United States of America,SJ Modani,36,36,2,2,100.00,No,,,JI de Villiers
1450690,2,United States of America,MD Patel,72,83,7,1,86.75,Yes,bowled,,JI de Villiers
1450690,2,United States of America,SR Mukkamalla,59,71,3,1,83.10,No,,,JI de Villiers
1450690,2,United States of America,Milind Kumar,0,1,0,0,0.00,Yes,lbw,,JI de Villiers
1450690,2,United States of America,Shayan Jahangir,21,34,1,0,61.76,No,,,JI de Villiers
1450690,2,United States of America,United States of America,0,0,0,0,0.00,DNB,,,
1450690,2,United States of America,Namibia,0,0,0,0,0.00,DNB,,,
1450691,2,United States of America,A Sharma,31,39,4,1,79.49,Yes,caught,,RN Bhatia
1450691,2,United States of America,Waseem Muhammad,2,7,0,0,28.57,Yes,caught,,RN Bhatia
1450691,2,United States of America,A Sharafu,0,2,0,0,0.00,Yes,caught,,RN Bhatia
1450691,2,United States of America,V Sukumaran,2,16,0,0,12.50,Yes,caught,,RN Bhatia
1450691,2,United States of America,R Chopra,32,66,3,0,48.48,Yes,caught,,RN Bhatia
1450691,2,United States of America,Aayan Afzal Khan,0,1,0,0,0.00,Yes,bowled,,RN Bhatia
1450691,2,United States of America,Basil Hameed,0,1,0,0,0.00,Yes,caught,,RN Bhatia
1450691,2,United States of America,Ali Naseer,23,31,5,0,74.19,Yes,caught,,RN Bhatia
1450691,2,United States of America,RN Bhatia,8,27,0,0,29.63,Yes,lbw,,RN Bhatia
1450691,2,United States of America,Junaid Siddique,0,3,0,0,0.00,Yes,bowled,,RN Bhatia
1450691,2,United States of America,Muhammad Jawadullah,0,1,0,0,0.00,No,,,RN Bhatia
1450691,2,United States of America,SK Patel,38,43,5,0,88.37,No,,,RN Bhatia
1450691,2,United States of America,AGS Gous,66,55,12,1,120.00,No,,,RN Bhatia
1450691,2,United States of America,United States of America,0,0,0,0,0.00,DNB,,,
1450691,2,United States of America,United Arab Emirates,0,0,0,0,0.00,DNB,,,
1450692,2,United Arab Emirates,M van Lingen,107,88,9,4,121.59,Yes,caught,,JN Loftie-Eaton
1450692,2,United Arab Emirates,JP Kotze,64,57,6,4,112.28,Yes,bowled,,JN Loftie-Eaton
1450692,2,United Arab Emirates,JN Frylinck,8,20,0,0,40.00,Yes,bowled,,JN Loftie-Eaton
1450692,2,United Arab Emirates,MG Erasmus,19,13,2,1,146.15,Yes,lbw,,JN Loftie-Eaton
1450692,2,United Arab Emirates,MB Kruger,0,2,0,0,0.00,Yes,caught,,JN Loftie-Eaton
1450692,2,United Arab Emirates,JJ Smit,14,27,1,0,51.85,Yes,bowled,,JN Loftie-Eaton
1450692,2,United Arab Emirates,JN Loftie-Eaton,54,65,2,3,83.08,Yes,run out,,JN Loftie-Eaton
1450692,2,United Arab Emirates,JI de Villiers,3,6,0,0,50.00,Yes,caught,,JN Loftie-Eaton
1450692,2,United Arab Emirates,BM Scholtz,24,28,2,0,85.71,Yes,caught,,JN Loftie-Eaton
1450692,2,United Arab Emirates,JT Brassell,0,5,0,0,0.00,Yes,run out,,JN Loftie-Eaton
1450692,2,United Arab Emirates,T Lungameni,0,0,0,0,0.00,No,,,JN Loftie-Eaton
