Match ID,innings,batting_team,striker,runs,balls,fours,sixes,strikeRate,isOut,wicketType,fielders,bowler
1450696,2,Nepal,Karan KC,27.0,24.0,2.0,2.0,112.5,True,caught,,Akhil Kumar
1450696,2,Nepal,Kushal Malla,12.0,43.0,0.0,0.0,27.91,True,caught,,Saad Bin Zafar
1450696,2,Nepal,LN Rajbanshi,0.0,23.0,0.0,0.0,0.0,False,not out,['-'],
1450696,2,Nepal,RK Paudel,5.0,6.0,1.0,0.0,83.33,True,caught,,D Heyliger
1450696,2,Nepal,S Lamichhane,22.0,17.0,1.0,2.0,129.41,True,bowled,,D Heyliger
1450696,2,Nepal,Sompal Kami,6.0,26.0,0.0,0.0,23.08,True,lbw,,Ansh Patel
1450696,1,Canada,Ansh Patel,,,,,,False,DNB,,
1450697,1,Nepal,A Saud,5.0,12.0,1.0,0.0,41.67,True,caught,,Kaleemullah
1450697,1,Nepal,AK Sah,3.0,10.0,0.0,0.0,30.0,True,caught,,Aqib Ilyas
1450697,1,Nepal,Aarif Sheikh,35.0,89.0,1.0,0.0,39.33,True,caught,,Shakeel Ahmed
1450697,1,Nepal,Aasif Sheikh,11.0,28.0,2.0,0.0,39.29,True,caught,,Shoaib Khan
1450697,1,Nepal,B Sharki,11.0,32.0,1.0,0.0,34.38,True,caught,,Fayyaz Butt
1450697,1,Nepal,Gulsan Jha,53.0,35.0,3.0,5.0,151.43,True,caught,,Fayyaz Butt
1450697,1,Nepal,Karan KC,1.0,3.0,0.0,0.0,33.33,True,bowled,,Kaleemullah
1450697,1,Nepal,RK Paudel,60.0,75.0,2.0,4.0,80.0,True,caught,,Aqib Ilyas
1450697,1,Nepal,S Lamichhane,11.0,15.0,0.0,0.0,73.33,False,not out,['-'],
1450697,1,Nepal,Sompal Kami,20.0,8.0,0.0,2.0,250.0,True,run out,,Kaleemullah
1450697,2,Oman,Aqib Ilyas,29.0,33.0,5.0,0.0,87.88,True,caught,,Gulsan Jha
1450697,2,Oman,Ayan Khan,9.0,13.0,2.0,0.0,69.23,True,caught,,Gulsan Jha
1450697,2,Oman,Fayyaz Butt,8.0,25.0,0.0,0.0,32.0,True,caught,,Gulsan Jha
1450697,2,Oman,Jatinder Singh,41.0,49.0,3.0,1.0,83.67,True,lbw,,S Lamichhane
1450697,2,Oman,Jay Odedra,5.0,12.0,0.0,0.0,41.67,True,caught,,Gulsan Jha
1450697,2,Oman,KH Prajapati,36.0,52.0,4.0,0.0,69.23,True,caught,,Aarif Sheikh
1450697,2,Oman,Kaleemullah,6.0,8.0,1.0,0.0,75.0,False,not out,['-'],
1450697,2,Oman,Khalid Kail,17.0,21.0,3.0,0.0,80.95,True,caught,,Karan KC
1450697,2,Oman,PS Athavale,26.0,38.0,3.0,0.0,68.42,True,caught,,Karan KC
1450697,2,Oman,Shakeel Ahmed,17.0,25.0,3.0,0.0,68.0,False,not out,['-'],
1450697,2,Oman,Shoaib Khan,26.0,26.0,4.0,0.0,100.0,True,caught,,Gulsan Jha
1450697,1,Nepal,LN Rajbanshi,,,,,,False,DNB,,
1450698,1,Canada,A Johnson,0.0,1.0,0.0,0.0,0.0,True,caught,,Shakeel Ahmed
1450698,1,Canada,D Heyliger,37.0,15.0,1.0,4.0,246.67,True,run out,,Kaleemullah
1450698,1,Canada,H Thaker,93.0,106.0,4.0,4.0,87.74,True,caught,,Fayyaz Butt
1450698,1,Canada,Kaleem Sana,4.0,11.0,0.0,0.0,36.36,False,not out,['-'],
1450698,1,Canada,NR Kirton,57.0,51.0,2.0,4.0,111.76,True,caught and bowled,,Zeeshan Maqsood
1450698,1,Canada,NS Dhaliwal,2.0,21.0,0.0,0.0,9.52,True,lbw,,Kaleemullah
1450698,1,Canada,Pargat Singh,42.0,79.0,4.0,2.0,53.16,True,caught,,Fayyaz Butt
1450698,1,Canada,S Movva,3.0,8.0,0.0,0.0,37.5,True,lbw,,Shakeel Ahmed
1450698,1,Canada,Saad Bin Zafar,22.0,15.0,4.0,0.0,146.67,True,lbw,,Kaleemullah
